apprWeight,availabilityWeight,compWeight,recall-rate@1,recall-rate@2,recall-rate@3,recall-rate@4,recall-rate@5,recall-rate@6,recall-rate@7,recall-rate@8,recall-rate@9,recall-rate@10,
55.0,1.0,100.0,10.666666666666668%,16.0%,16.0%,24.0%,25.333333333333336%,29.333333333333332%,30.666666666666664%,36.0%,45.33333333333333%,50.66666666666667%,
65.0,1.0,100.0,10.666666666666668%,16.0%,16.0%,24.0%,25.333333333333336%,29.333333333333332%,29.333333333333332%,36.0%,42.66666666666667%,48.0%,
75.0,1.0,100.0,10.666666666666668%,16.0%,16.0%,24.0%,25.333333333333336%,29.333333333333332%,29.333333333333332%,34.66666666666667%,41.333333333333336%,48.0%,
45.0,1.0,100.0,10.666666666666668%,16.0%,16.0%,24.0%,25.333333333333336%,29.333333333333332%,32.0%,40.0%,48.0%,52.0%,
25.0,1.0,100.0,10.666666666666668%,16.0%,17.333333333333336%,26.666666666666668%,30.666666666666664%,36.0%,42.66666666666667%,49.333333333333336%,52.0%,53.333333333333336%,
60.0,1.0,100.0,10.666666666666668%,16.0%,16.0%,24.0%,25.333333333333336%,29.333333333333332%,29.333333333333332%,36.0%,44.0%,49.333333333333336%,
70.0,1.0,100.0,10.666666666666668%,16.0%,16.0%,24.0%,25.333333333333336%,29.333333333333332%,29.333333333333332%,36.0%,41.333333333333336%,48.0%,
35.0,1.0,100.0,10.666666666666668%,16.0%,16.0%,24.0%,26.666666666666668%,30.666666666666664%,34.66666666666667%,44.0%,49.333333333333336%,52.0%,
30.0,1.0,100.0,10.666666666666668%,16.0%,16.0%,25.333333333333336%,28.000000000000004%,33.33333333333333%,40.0%,46.666666666666664%,52.0%,53.333333333333336%,
50.0,1.0,100.0,10.666666666666668%,16.0%,16.0%,24.0%,25.333333333333336%,29.333333333333332%,32.0%,38.666666666666664%,46.666666666666664%,50.66666666666667%,
40.0,1.0,100.0,10.666666666666668%,16.0%,16.0%,24.0%,25.333333333333336%,29.333333333333332%,33.33333333333333%,41.333333333333336%,49.333333333333336%,52.0%,
