apprWeight,availabilityWeight,compWeight,recall-rate@1,recall-rate@2,recall-rate@3,recall-rate@4,recall-rate@5,recall-rate@6,recall-rate@7,recall-rate@8,recall-rate@9,recall-rate@10,
5.0,1.0,30.0,10.666666666666668%,17.333333333333336%,21.333333333333336%,29.333333333333332%,33.33333333333333%,40.0%,49.333333333333336%,52.0%,54.666666666666664%,56.00000000000001%,
7.0,1.0,30.0,10.666666666666668%,16.0%,18.666666666666668%,26.666666666666668%,30.666666666666664%,36.0%,41.333333333333336%,48.0%,50.66666666666667%,53.333333333333336%,
3.0,1.0,30.0,29.333333333333332%,40.0%,50.66666666666667%,66.66666666666666%,88.0%,98.66666666666667%,104.0%,109.33333333333333%,109.33333333333333%,112.00000000000001%,
2.0,1.0,30.0,13.333333333333334%,21.333333333333336%,33.33333333333333%,40.0%,45.33333333333333%,49.333333333333336%,49.333333333333336%,52.0%,52.0%,53.333333333333336%,
3.0,1.0,40.0,14.666666666666666%,21.333333333333336%,33.33333333333333%,41.333333333333336%,46.666666666666664%,52.0%,52.0%,54.666666666666664%,54.666666666666664%,56.00000000000001%,
3.0,1.0,50.0,13.333333333333334%,24.0%,33.33333333333333%,41.333333333333336%,45.33333333333333%,49.333333333333336%,49.333333333333336%,52.0%,52.0%,53.333333333333336%,
8.0,1.0,30.0,10.666666666666668%,16.0%,17.333333333333336%,26.666666666666668%,29.333333333333332%,36.0%,41.333333333333336%,49.333333333333336%,52.0%,53.333333333333336%,
10.0,1.0,30.0,10.666666666666668%,16.0%,16.0%,24.0%,26.666666666666668%,30.666666666666664%,34.66666666666667%,45.33333333333333%,49.333333333333336%,52.0%,
6.0,1.0,30.0,10.666666666666668%,16.0%,18.666666666666668%,28.000000000000004%,32.0%,41.333333333333336%,45.33333333333333%,52.0%,53.333333333333336%,56.00000000000001%,
1.0,1.0,30.0,16.0%,28.000000000000004%,36.0%,42.66666666666667%,46.666666666666664%,48.0%,49.333333333333336%,50.66666666666667%,52.0%,52.0%,
4.0,1.0,30.0,10.666666666666668%,18.666666666666668%,24.0%,33.33333333333333%,37.333333333333336%,46.666666666666664%,52.0%,53.333333333333336%,54.666666666666664%,56.00000000000001%,
3.0,1.0,5.0,10.666666666666668%,16.0%,16.0%,24.0%,25.333333333333336%,29.333333333333332%,29.333333333333332%,36.0%,44.0%,49.333333333333336%,
3.0,1.0,20.0,10.666666666666668%,18.666666666666668%,22.666666666666664%,30.666666666666664%,37.333333333333336%,40.0%,50.66666666666667%,52.0%,54.666666666666664%,56.00000000000001%,
3.0,1.0,10.0,10.666666666666668%,16.0%,16.0%,25.333333333333336%,28.000000000000004%,33.33333333333333%,40.0%,46.666666666666664%,52.0%,53.333333333333336%,
9.0,1.0,30.0,10.666666666666668%,16.0%,16.0%,25.333333333333336%,28.000000000000004%,33.33333333333333%,40.0%,46.666666666666664%,52.0%,53.333333333333336%,
3.0,1.0,45.0,13.333333333333334%,21.333333333333336%,33.33333333333333%,40.0%,45.33333333333333%,49.333333333333336%,49.333333333333336%,52.0%,52.0%,53.333333333333336%,
3.0,1.0,25.0,13.333333333333334%,18.666666666666668%,24.0%,33.33333333333333%,37.333333333333336%,48.0%,52.0%,54.666666666666664%,54.666666666666664%,56.00000000000001%,
3.0,1.0,35.0,14.666666666666666%,21.333333333333336%,28.000000000000004%,38.666666666666664%,46.666666666666664%,52.0%,52.0%,54.666666666666664%,54.666666666666664%,56.00000000000001%,
3.0,1.0,15.0,10.666666666666668%,16.0%,18.666666666666668%,28.000000000000004%,32.0%,41.333333333333336%,45.33333333333333%,52.0%,53.333333333333336%,56.00000000000001%,
