#,Issue,Product,Component,,Stakeholder,Score,Quality,Missing high priority stakeholder,
1,485167,Platform,UI,,Andrey Loskutov,100.00%,High,Sebastian Ratz,
,,,,,Lars Vogel,81.72%,Medium,"rolf.theunissen@gmail.com, ",
,,,,,Patrik Suzzi,38.18%,Low,,
,,,,,,,,,
,,,,,,,,,
2,485510,Platform,UI,,Mat Booth,18.29%,Medium,,
,,,,,Lars Vogel,5.91%,Medium,,
,,,,,Alexander Kurtakov,5.36%,Medium,,
,,,,,,,,,
,,,,,,,,,
3,485514,Platform,UI,,Leo Ufimstev,24.76%,Medium,Karsten Thoms,
,,,,,Lars Vogel,18.34%,Medium,,
,,,,,Alexander Kurtakov,13.89%,Medium,,
,,,,,,,,,
,,,,,,,,,
4,485825,Platform,UI,,Lars Vogel,75.00%,High,,
,,,,,Leo Ufimstev,25.42%,Medium,,
,,,,,Alexander Kurtakov,7.22%,High,,
,,,,,,,,,
,,,,,,,,,
5,485841,Platform,UI,,Lars Vogel,100.00%,High,,
,,,,,Leo Ufimstev,39.89%,Medium,,
,,,,,Patrik Suzzi,33.77%,High,,
,,,,,,,,,
,,,,,,,,,
6,485849,Platform,UI,,Lars Vogel,100.00%,High,,
,,,,,Leo Ufimstev,29.85%,Low,,
,,,,,Niraj Modi,19.79%,Medium,,
,,,,,,,,,
,,,,,,,,,
7,485931,Platform,UI,,Alexander Kurtakov,37.69%,Low,"rolf.theunissen@gmail.com, ",
,,,,,Leo Ufimstev,24.04%,Low,,
,,,,,Lars Vogel,22.22%,Medium,,
,,,,,,,,,
,,,,,,,,,
8,486067,Platform,UI,,Mikaël barbero,100.00%,High,,
,,,,,Lars Vogel,75.00%,Medium,,
,,,,,Leo Ufimstev,20.89%,Medium,,
,,,,,,,,,
,,,,,,,,,
9,486073,Platform,UI,,Leo Ufimstev,53.53%,Low,,
,,,,,Paul Pazderski,42.28%,Medium,,
,,,,,Lars Vogel,36.74%,Medium,,
,,,,,,,,,
,,,,,,,,,
10,486313,Platform,UI,,Lars Vogel,80.90%,High,,
,,,,,Patrik Suzzi,68.25%,Medium,,
,,,,,Andrey Loskutov,62.65%,High,,
,,,,,,,,,
,,,,,,,,,
11,486363,Platform,UI,,Patrik Suzzi,70.22%,Medium,Ed Merks,
,,,,,Alexander Kurtakov,65.13%,Medium,,
,,,,,Eric Williams,57.00%,Low,,
,,,,,,,,,
,,,,,,,,,
12,486377,Platform,UI,,Lars Vogel,100.00%,Medium,Rolf Theunissen,
,,,,,Eric Williams,54.58%,Low,,
,,,,,Alexander Kurtakov,45.61%,Medium,,
,,,,,,,,,
,,,,,,,,,
13,486411,Platform,UI,,Lars Vogel,84.89%,Medium,Patrik Suzzi,
,,,,,Eric Williams,34.66%,Low,,
,,,,,Alexander Kurtakov,19.09%,Medium,,
,,,,,,,,,
,,,,,,,,,
14,486545,Platform,UI,,Eric Williams,79.57%,Low,,
,,,,,Lars Vogel,64.05%,High,,
,,,,,Alexander Kurtakov,51.24%,Medium,,
,,,,,,,,,
,,,,,,,,,
15,487161,Platform,UI,,Lars Vogel,86.91%,Medium,Mickael Istria,
,,,,,Eric Williams,60.45%,Low,,
,,,,,Alexander Kurtakov,31.96%,Medium,,
,,,,,,,,,
,,,,,,,,,
16,487194,Platform,UI,,Lars Vogel,63.65%,Medium,,
,,,,,Eric Williams,23.53%,Medium,,
,,,,,Alexander Kurtakov,4.01%,Medium,,
,,,,,,,,,
,,,,,,,,,
17,487260,Platform,UI,,Lars Vogel,76.93%,Medium,,
,,,,,Eric Williams,46.27%,Low,,
,,,,,Alexander Kurtakov,34.00%,Medium,,
,,,,,,,,,
,,,,,,,,,
18,487296,Platform,UI,,Lars Vogel,62.80%,High,,
,,,,,Eric Williams,54.08%,Low,,
,,,,,Alexander Kurtakov,27.97%,Medium,,
,,,,,,,,,
,,,,,,,,,
19,491948,Platform,UI,,Alexander Kurtakov,77.62%,Medium,,
,,,,,Lars Vogel,59.66%,Medium,,
,,,,,Eric Williams,25.70%,Low,,
,,,,,,,,,
,,,,,,,,,
20,494579,Platform,UI,,Markus Keller,100.00%,Low,,
,,,,,Lars Vogel,85.03%,Medium,,
,,,,,Alexander Kurtakov,69.28%,Low,,
,,,,,,,,,
,,,,,,,,,
21,498175,Platform,UI,,Eric Williams,79.64%,Low,,
,,,,,Lars Vogel,53.52%,Medium,,
,,,,,Alexander Kurtakov,41.11%,Medium,,
,,,,,,,,,
,,,,,,,,,
22,514649,Platform,UI,,Alexander Kurtakov,73.35%,Medium,,
,,,,,Eric Williams,72.98%,Medium,,
,,,,,Lars Vogel,62.11%,Medium,,
,,,,,,,,,
,,,,,,,,,
23,514663,Platform,UI,,Lars Vogel,88.13%,High,,
,,,,,Alexander Kurtakov,64.90%,Medium,,
,,,,,Eric Williams,22.22%,Low,,
,,,,,,,,,
,,,,,,,,,
24,527525,Platform,UI,,Eric Williams,82.51%,Medium,,
,,,,,Lars Vogel,54.11%,Medium,,
,,,,,Alexander Kurtakov,48.55%,High,,
,,,,,,,,,
,,,,,,,,,
25,527589,Platform,UI,,Lars Vogel,95.43%,Medium,,
,,,,,Alexander Kurtakov,69.25%,Medium,,
,,,,,Eric Williams,33.13%,Medium,,
,,,,,,,,,
,,,,,,,,,
26,527665,Platform,UI,,Lars Vogel,83.33%,High,,
,,,,,Alexander Kurtakov,22.69%,High,,
,,,,,Eric Williams,14.41%,Medium,,
,,,,,,,,,
,,,,,,,,,
27,527705,Platform,UI,,Lars Vogel,50.00%,Low,paul-eclipse@ppazderski.de>,
,,,,,Eric Williams,17.31%,Low,,
,,,,,Alexander Kurtakov,14.83%,Low,,
,,,,,,,,,
,,,,,,,,,
28,537639,Platform,UI,,Kaylan Prasad Tatavarthi,100.00%,High,,
,,,,,Lars Vogel,95.61%,Low,,
,,,,,Alexander Kurtakov,32.74%,Low,,
,,,,,,,,,
,,,,,,,,,
29,537641,Platform,UI,,Kaylan Prasad Tatavarthi,100.00%,High,,
,,,,,Lars Vogel,72.12%,Low,,
,,,,,Alexander Kurtakov,19.72%,Low,,
,,,,,,,,,
,,,,,,,,,
30,540433,Platform,UI,,Lars Vogel,100.00%,Medium,,
,,,,,Alexander Kurtakov,88.60%,Medium,,
,,,,,Eric Williams,34.45%,Medium,,
,,,,,,,,,
,,,,,,,,,
31,540488,Platform,UI,,Lars Vogel,84.91%,Medium,Karsten Thoms,
,,,,,Eric Williams,34.02%,Medium,,
,,,,,Alexander Kurtakov,20.81%,Medium,,
,,,,,,,,,
,,,,,,,,,
32,540526,Platform,UI,,Michael Keppler,100.00%,High,,
,,,,,Alexander Kurtakov,65.48%,Low,,
,,,,,Lars Vogel,32.89%,Medium,,
,,,,,,,,,
,,,,,,,,,
33,541745,Platform,UI,,Lars Vogel,70.74%,Medium,Rolf Theunissen,
,,,,,Alexander Kurtakov,45.39%,Medium,,
,,,,,Eric Williams,37.73%,Medium,,
,,,,,,,,,
,,,,,,,,,
34,542703,Platform,UI,,Lars Vogel,88.65%,Medium,Julian Honnen,
,,,,,Eric Williams,60.39%,Low,,
,,,,,Alexander Kurtakov,50.44%,Low,,
,,,,,,,,,
,,,,,,,,,
35,544319,Platform,UI,,Eric Williams,50.25%,Low,Karsten Thoms,
,,,,,Lars Vogel,28.32%,Low,,
,,,,,Alexander Kurtakov,9.30%,Low,,
,,,,,,,,,
,,,,,,,,,
36,544349,Platform,UI,,Alexander Kurtakov,65.05%,Medium,,
,,,,,Lars Vogel,56.33%,Medium,,
,,,,,Eric Williams,29.99%,Medium,,
,,,,,,,,,
,,,,,,,,,
37,544515,Platform,UI,,Leo Ufimstev,31.70%,Low,rolf.theunissen@gmail.com ,
,,,,,Lars Vogel,25.90%,Medium,,
,,,,,Alexander Kurtakov,6.92%,Low,,
,,,,,,,,,
,,,,,,,,,
38,558617,Platform,UI,,Eric Williams,79.07%,Low,,
,,,,,Lars Vogel,63.57%,Medium,,
,,,,,Alexander Kurtakov,41.94%,Medium,,
,,,,,,,,,
,,,,,,,,,
39,558618,Platform,UI,,Andrey Loskutov,51.29%,Medium,Alexander Fedorov,
,,,,,Lars Vogel,23.47%,Medium,,
,,,,,Alexander Kurtakov,11.97%,Medium,,
,,,,,,,,,
,,,,,,,,,
